leg_no,hip_angle,knee_angle,length,height_from_ground
0,20,84,5.0,10.0
0,14,93,4.875,9.219375
0,11,96,4.75,8.910275
0,10,99,4.625,8.683043
0,9,101,4.5,8.5
0,8,103,4.375,8.346405
0,7,105,4.25,8.214643
0,7,106,4.125,8.100164
0,6,108,4.0,8.0
0,6,109,3.875,7.912088
0,6,110,3.75,7.834936
0,6,111,3.625,7.767429
0,6,112,3.5,7.708712
0,6,113,3.375,7.658126
0,6,114,3.25,7.615152
0,6,115,3.125,7.579385
0,6,115,3.0,7.55051
0,7,116,2.875,7.528285
0,7,116,2.75,7.512531
0,8,117,2.625,7.503127
0,8,117,2.5,7.5
0,9,118,2.375,7.503127
0,10,118,2.25,7.512531
0,11,118,2.125,7.528285
0,12,118,2.0,7.55051
0,12,118,1.875,7.579385
0,13,118,1.75,7.615152
0,15,118,1.625,7.658126
0,16,118,1.5,7.708712
0,17,117,1.375,7.767429
0,18,117,1.25,7.834936
0,19,117,1.125,7.912088
0,21,116,1.0,8.0
0,22,115,0.875,8.100164
0,24,114,0.75,8.214643
0,25,113,0.625,8.346405
0,27,112,0.5,8.5
0,29,110,0.375,8.683043
0,31,108,0.25,8.910275
0,34,105,0.125,9.219375
0,39,97,0.0,10.0
