leg_no,hip_angle,knee_angle,length,height_from_ground
0,27,116,0.0,8.0
0,27,116,0.125,8.0
0,26,116,0.25,8.0
0,25,116,0.375,8.0
0,24,116,0.5,8.0
0,23,116,0.625,8.0
0,22,116,0.75,8.0
0,21,116,0.875,8.0
0,21,116,1.0,8.0
0,20,116,1.125,8.0
0,19,116,1.25,8.0
0,18,115,1.375,8.0
0,18,115,1.5,8.0
0,17,115,1.625,8.0
0,16,115,1.75,8.0
0,15,114,1.875,8.0
0,15,114,2.0,8.0
0,14,114,2.125,8.0
0,13,114,2.25,8.0
0,13,113,2.375,8.0
0,12,113,2.5,8.0
0,12,113,2.625,8.0
0,11,112,2.75,8.0
0,10,112,2.875,8.0
0,10,111,3.0,8.0
0,9,111,3.125,8.0
0,9,111,3.25,8.0
0,8,110,3.375,8.0
0,8,110,3.5,8.0
0,7,109,3.625,8.0
0,7,109,3.75,8.0
0,7,108,3.875,8.0
0,6,108,4.0,8.0
0,6,107,4.125,8.0
0,5,107,4.25,8.0
0,5,106,4.375,8.0
0,5,105,4.5,8.0
0,4,105,4.625,8.0
0,4,104,4.75,8.0
0,4,104,4.875,8.0
0,4,103,5.0,8.0
