hip_angle,knee_angle,height_from_ground
40.00,115.00,3.00
39.00,118.00,2.90
39.00,120.00,2.80
38.00,123.00,2.70
37.00,125.00,2.60
36.00,127.00,2.50
36.00,130.00,2.40
35.00,132.00,2.30
35.00,134.00,2.20
34.00,137.00,2.10
34.00,139.00,2.00
33.00,141.00,1.90
33.00,144.00,1.80
33.00,146.00,1.70
33.00,148.00,1.60
33.00,151.00,1.50
34.00,153.00,1.40
34.00,155.00,1.30
35.00,158.00,1.20
36.00,160.00,1.10
38.00,162.00,1.00
41.00,165.00,0.90
44.00,167.00,0.80
50.00,170.00,0.70
59.00,174.00,0.60
89.00,180.00,0.50
90.00,180.00,0.40
90.00,180.00,0.30
90.00,180.00,0.20
90.00,180.00,0.10
90.00,180.00,0.00
90.00,180.00,0.00
90.00,180.00,0.10
90.00,180.00,0.20
90.00,180.00,0.30
90.00,180.00,0.40
90.00,180.00,0.50
59.00,174.00,0.60
50.00,170.00,0.70
44.00,167.00,0.80
41.00,165.00,0.90
38.00,162.00,1.00
36.00,160.00,1.10
35.00,158.00,1.20
34.00,155.00,1.30
34.00,153.00,1.40
33.00,151.00,1.50
33.00,148.00,1.60
33.00,146.00,1.70
33.00,144.00,1.80
33.00,141.00,1.90
34.00,139.00,2.00
34.00,137.00,2.10
35.00,134.00,2.20
35.00,132.00,2.30
36.00,130.00,2.40
36.00,127.00,2.50
37.00,125.00,2.60
38.00,123.00,2.70
39.00,120.00,2.80
39.00,118.00,2.90
40.00,115.00,3.00
